network,obj,trial,model,model_paras,time_train,time_total,MAE_train,RMSE_train,R_train,R2_train,MAPE_train,NNSE_train,KGE_train,PCD_train,KLD_train,VAF_train,A30_train,A20_train,MAE_test,RMSE_test,R_test,R2_test,MAPE_test,NNSE_test,KGE_test,PCD_test,KLD_test,VAF_test,A30_test,A20_test
0,MSE,3,MAEO-MLP,1000-50,169.42,169.423,0.57,0.787,0.884,0.776,0.085,0.817,0.795,0.708,-9.401,77.867,0.959,0.922,0.787,1.142,0.783,0.539,0.127,0.684,0.614,0.707,-42.596,60.99,0.904,0.807
0,MSE,3,AAEO-MLP,1000-50,159.933,159.936,0.441,0.633,0.925,0.855,0.061,0.874,0.89,0.75,8.479,85.534,0.969,0.943,0.743,1.125,0.789,0.553,0.122,0.691,0.647,0.78,-41.914,62.203,0.892,0.819
0,MSE,4,GA-MLP,1000-50-0.85-0.05,107.874,107.877,0.537,0.751,0.894,0.797,0.078,0.831,0.812,0.74,16.524,79.663,0.969,0.922,0.753,1.115,0.783,0.56,0.121,0.695,0.624,0.756,-34.101,60.972,0.928,0.843
0,MSE,4,DE-MLP,1000-50-0.85-0.8,105.796,105.8,0.536,0.781,0.893,0.78,0.082,0.819,0.738,0.745,11.135,77.959,0.969,0.933,0.729,1.055,0.803,0.607,0.117,0.718,0.643,0.732,-27.263,64.046,0.916,0.819
0,MSE,4,PSO-MLP,1000-50-1.2-1.2-0.4-0.9,107.355,107.358,0.581,0.802,0.878,0.768,0.085,0.812,0.792,0.667,19.824,76.813,0.969,0.922,0.699,1.005,0.817,0.643,0.111,0.737,0.662,0.732,-18.731,66.191,0.952,0.795
0,MSE,4,HHO-MLP,1000-50,194.2,194.203,0.731,0.97,0.82,0.66,0.104,0.746,0.809,0.625,27.379,66.011,0.959,0.886,0.733,1.051,0.805,0.61,0.112,0.719,0.716,0.646,-29.593,64.688,0.928,0.855
0,MSE,4,SSA-MLP,1000-50-0.8-0.2-0.1,197.004,197.008,0.5,0.693,0.909,0.827,0.069,0.852,0.878,0.719,10.668,82.658,0.969,0.938,0.811,1.189,0.769,0.5,0.133,0.667,0.608,0.793,-48.256,58.972,0.892,0.807
0,MSE,4,HGS-MLP,1000-50-0.03-1000,106.55,106.553,0.59,0.827,0.868,0.753,0.084,0.802,0.818,0.724,20.005,75.302,0.964,0.912,0.685,1.019,0.801,0.633,0.106,0.732,0.716,0.72,-9.343,64.154,0.928,0.807
0,MSE,4,MVO-MLP,1000-50-0.2-1.0,106.276,106.279,0.486,0.674,0.914,0.836,0.067,0.859,0.881,0.724,9.758,83.62,0.979,0.943,0.806,1.206,0.758,0.486,0.132,0.661,0.626,0.707,-47.436,57.463,0.88,0.783
0,MSE,4,EFO-MLP,1000-50-0.3-0.85-0.1-0.45,105.36,105.364,0.459,0.64,0.923,0.852,0.064,0.871,0.883,0.724,4.879,85.199,0.979,0.938,0.748,1.141,0.779,0.54,0.123,0.685,0.652,0.732,-40.869,60.657,0.916,0.807
0,MSE,4,EO-MLP,1000-50,109.162,109.165,0.466,0.662,0.917,0.842,0.064,0.863,0.883,0.729,8.775,84.17,0.969,0.953,0.72,1.11,0.784,0.564,0.117,0.697,0.666,0.744,-34.588,61.5,0.904,0.819
0,MSE,4,CHIO-MLP,1000-50-0.06-150,118.213,118.217,0.628,0.822,0.875,0.756,0.086,0.804,0.863,0.672,-7.628,75.839,0.984,0.917,0.951,1.332,0.695,0.373,0.148,0.615,0.59,0.671,-50.095,47.53,0.892,0.783
